id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,latency_ms,answered,config_label,retrieval_mode,sources,chunks_retrieved
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,Tôi không thể tìm thấy thông tin về sự thay đổi của SLA xử lý ticket P1 so với phiên bản trước trong các tài liệu cung cấp.,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",1,"token_overlap=0.24, unsupported_numbers=[]",5,query_answer_overlap=0.70,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.32, missing_numbers=['01', '15', '2025.3', '2026', '2026.1', '4', '6']",5161.981099998229,True,variant_hybrid_rrf,hybrid,"['support/sla-p1-2026.pdf', 'policy/refund-v4.pdf']",3
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc. [1],"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"token_overlap=1.00, unsupported_numbers=['1']",2,query_answer_overlap=0.46,5,Retrieved: 2/2 expected sources,5,"expected_overlap=0.38, missing_numbers=[]",3933.8200999991386,True,variant_hybrid_rrf,hybrid,"['hr/leave-policy-2026.pdf', 'support/helpdesk-faq.md']",3
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Không được hoàn tiền. [1],Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"token_overlap=1.00, unsupported_numbers=['1']",1,query_answer_overlap=0.15,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.07, missing_numbers=['2', '3']",2793.4891000004427,True,variant_hybrid_rrf,hybrid,['policy/refund-v4.pdf'],3
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn được 110% so với số tiền gốc.","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",4,"token_overlap=0.82, unsupported_numbers=[]",4,query_answer_overlap=0.75,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.43, missing_numbers=[]",2979.997499998717,True,variant_hybrid_rrf,hybrid,"['support/helpdesk-faq.md', 'policy/refund-v4.pdf']",3
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Tôi không thể tìm thấy thông tin về việc cấp quyền Admin Access cho contractor từ bên ngoài công ty trong các tài liệu cung cấp.,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",2,"token_overlap=0.50, unsupported_numbers=[]",4,query_answer_overlap=0.56,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.12, missing_numbers=['4', '5']",3650.519399998302,True,variant_hybrid_rrf,hybrid,"['support/helpdesk-faq.md', 'it/access-control-sop.md']",3
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Khi xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như sau:

1. On-call IT Admin cần được Tech Lead phê duyệt bằng lời trước khi cấp quyền tạm thời.
2. Quyền tạm thời được cấp tối đa 24 giờ.
3. Sau 24 giờ, quyền tạm thời phải được thu hồi hoặc có ticket chính thức.
4. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Nguồn: [1] it/access-control-sop.md | Section 4: Escalation","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"token_overlap=0.83, unsupported_numbers=[]",4,query_answer_overlap=0.67,5,Retrieved: 2/2 expected sources,3,"expected_overlap=0.81, missing_numbers=['7', '9999']",3508.5481999994954,True,variant_hybrid_rrf,hybrid,"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",3
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không có thông tin về SLA P1 và mức phạt liên quan.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"token_overlap=0.38, unsupported_numbers=['1']",2,query_answer_overlap=0.25,,No expected sources,1,"expected_overlap=0.14, missing_numbers=['2026']",2864.790900002845,True,variant_hybrid_rrf,hybrid,['support/helpdesk-faq.md'],3
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm. Con số này không giống với số ngày cần giấy tờ khi nghỉ ốm, vì khi nghỉ ốm cần báo trước 9:00 sáng ngày nghỉ và có thể cần giấy tờ y tế từ bệnh viện nếu nghỉ trên 3 ngày liên tiếp.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,"token_overlap=0.89, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.59, missing_numbers=[]",2815.0364000030095,True,variant_hybrid_rrf,hybrid,"['hr/leave-policy-2026.pdf', 'it/access-control-sop.md']",3
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu tài khoản công ty cần đổi định kỳ. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=0.81,5,Retrieved: 1/1 expected sources,2,"expected_overlap=0.54, missing_numbers=['9000']",3114.9497000005795,True,variant_hybrid_rrf,hybrid,"['support/helpdesk-faq.md', 'it/access-control-sop.md']",3
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Tôi không biết chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 vì thông tin trong văn bản không đề cập đến vấn đề này.,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,3,"token_overlap=0.59, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,3,"expected_overlap=0.76, missing_numbers=['3', '4']",2922.9549000010593,True,variant_hybrid_rrf,hybrid,['policy/refund-v4.pdf'],3
