id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,latency_ms,answered,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để xử lý và khắc phục.,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,4,"token_overlap=0.80, unsupported_numbers=[]",4,query_answer_overlap=0.67,5,Retrieved: 1/1 expected sources,2,"expected_overlap=0.27, missing_numbers=['15']",11173.523900000873,True,variant_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"token_overlap=0.94, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=1.00, missing_numbers=[]",3276.9409000029555,True,variant_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Ai phải phê duyệt để cấp quyền Level 3? 
Line Manager + IT Admin + IT Security.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.70, missing_numbers=[]",6389.457599998423,True,variant_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số không được hoàn tiền. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"token_overlap=1.00, unsupported_numbers=['1']",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.33, missing_numbers=[]",5263.533299999835,True,variant_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=1.00, missing_numbers=[]",4549.44130000149,True,variant_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động sau 10 phút không có phản hồi [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"token_overlap=0.86, unsupported_numbers=[]",3,query_answer_overlap=0.40,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.38, missing_numbers=[]",6756.911399999808,True,variant_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tôi không thể tìm thấy thông tin về tài liệu ""Approval Matrix"" trong các đoạn văn bạn cung cấp. Tuy nhiên, có một tài liệu có tên ""Approval Matrix for System Access"" trước đây, nhưng không rõ nó là tài liệu gì.",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"token_overlap=0.52, unsupported_numbers=[]",4,query_answer_overlap=0.62,5,Retrieved: 1/1 expected sources,3,"expected_overlap=0.58, missing_numbers=[]",4382.229699996969,True,variant_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"token_overlap=0.88, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.41, missing_numbers=[]",6512.4395999991975,True,variant_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không tìm thấy thông tin về lỗi ERR-403-AUTH trong các tài liệu cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",3,"token_overlap=0.09, unsupported_numbers=['403']",4,Safe abstain / uncertainty handling,,No expected sources,5,"expected_overlap=0.42, missing_numbers=[]",6300.252699998964,True,variant_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong văn bản cung cấp.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"token_overlap=0.56, unsupported_numbers=[]",5,query_answer_overlap=0.75,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.25, missing_numbers=['3', '5']",4424.585000000661,True,variant_rerank
